dataset_id,num_tasks,task_ids,optimal_rtt,placement_plan,task_types
ds_00211,5,"(0, 1, 2, 3, 4)",2.9344621530012276,"{'0': [1, 6], '1': [4, 21], '2': [11, 57], '3': [1, 7], '4': [14, 71]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00810,5,"(0, 1, 2, 3, 4)",7.708546273224986,"{'0': [11, 54], '1': [13, 65], '2': [14, 69], '3': [1, 6], '4': [17, 84]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00278,5,"(0, 1, 2, 3, 4)",2.3313803060092075,"{'0': [15, 78], '1': [10, 51], '2': [13, 65], '3': [2, 14], '4': [14, 74]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00396,5,"(0, 1, 2, 3, 4)",2.3611728911122736,"{'0': [1, 6], '1': [13, 64], '2': [15, 78], '3': [11, 58], '4': [13, 67]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_01039,5,"(0, 1, 2, 3, 4)",0.9833245777726429,"{'0': [13, 64], '1': [10, 50], '2': [11, 55], '3': [13, 66], '4': [14, 74]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00654,5,"(0, 1, 2, 3, 4)",2.644859587904612,"{'0': [17, 83], '1': [0, 0], '2': [4, 21], '3': [17, 85], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01078,5,"(0, 1, 2, 3, 4)",0.5902276841237791,"{'0': [15, 78], '1': [10, 50], '2': [12, 63], '3': [2, 14], '4': [17, 85]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00188,5,"(0, 1, 2, 3, 4)",0.7280373146908252,"{'0': [0, 0], '1': [1, 4], '2': [13, 64], '3': [2, 14], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00059,5,"(0, 1, 2, 3, 4)",1.3545126233336138,"{'0': [11, 54], '1': [10, 52], '2': [13, 65], '3': [11, 55], '4': [14, 72]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00655,5,"(0, 1, 2, 3, 4)",3.4380766073417166,"{'0': [0, 1], '1': [11, 53], '2': [4, 22], '3': [1, 7], '4': [17, 85]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00159,5,"(0, 1, 2, 3, 4)",1.3253094153733116,"{'0': [11, 56], '1': [3, 15], '2': [13, 65], '3': [2, 14], '4': [7, 36]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
