run_id,run_name,state,created_at,best_val_acc,final_val_acc,final_val_loss,final_train_loss,embedding_dim,hidden_dim,lr,epochs,device,num_train,num_test
e8b802mh,divine-planet-1,finished,2025-10-07T16:14:42Z,,,,,,,,,,,
b3zyvdok,robust-pine-2,finished,2025-10-07T16:15:01Z,,,,,,,,,,,
fo2ixyi3,confused-night-3,finished,2025-10-07T16:15:23Z,,,,,,,,,,,
1eggjus2,stellar-haze-4,finished,2025-10-07T16:15:46Z,,,,,,,,,,,
1p7xivr6,lilac-grass-5,crashed,2025-10-07T16:18:08Z,,,,,,,,,,,
snwzhqbj,blooming-galaxy-6,crashed,2025-10-07T17:13:25Z,,,,,,,,,,,
8lafk8j4,rose-sun-7,finished,2025-10-08T10:52:00Z,,,,,,,,,,,
33mtyv8v,rich-jazz-8,finished,2025-10-08T10:55:26Z,,,,,,,,,,,
74jrb1fs,divine-silence-9,finished,2025-10-10T15:13:04Z,,,,,,,,,,,
lepzwyq6,wild-deluge-10,finished,2025-10-10T16:35:02Z,,,,,,,,,,,
fn9z4jwh,ethereal-water-11,crashed,2025-10-10T16:38:40Z,,,,,,,,,,,
9mj00iyo,mild-bee-12,finished,2025-10-10T17:01:24Z,,,,,,,,,,,
7pi6pvya,autumn-bush-13,crashed,2025-10-11T16:05:46Z,,,,,,,,,,,
w3ny4md7,avid-pine-14,finished,2025-10-12T11:18:33Z,,,,,,,,,,,
7mua48km,silver-lake-15,finished,2025-10-12T11:24:43Z,,,,,,,,,,,
5xvy1e4t,lunar-meadow-16,finished,2025-10-12T11:35:42Z,,,,,,,,,,,
o3g3kg9y,avid-plasma-17,finished,2025-10-12T11:39:42Z,,,,,,,,,,,
ixtweqz7,graceful-disco-18,finished,2025-10-12T12:33:27Z,,,,,,,,,,,
inbl1hlj,solar-darkness-19,crashed,2025-10-12T17:00:35Z,,,,,,,,,,,
gpvyxl3z,ancient-forest-20,finished,2025-10-14T09:20:32Z,,,,,,,,,,,
pd2c26rn,vibrant-morning-21,finished,2025-10-14T11:29:43Z,,,,,,,,,,,
ckbvfzhu,faithful-salad-22,crashed,2025-10-14T14:16:14Z,,,,,,,,,,,
i7wxm0n4,legendary-smoke-23,crashed,2025-10-14T14:39:18Z,,,,,,,,,,,
x5vko9az,rare-sponge-24,finished,2025-10-14T14:56:29Z,,,,,,,,,,,
p8ojb2es,sage-dream-25,finished,2025-10-16T08:53:20Z,,,,,,,,,,,
lc1n42fj,wise-dawn-26,finished,2025-10-20T13:08:09Z,,,,,,,,,,,
mhuybmlh,solar-hill-27,crashed,2025-10-20T14:28:35Z,,,,,,,,,,,
5rfao4yl,devoted-snow-28,finished,2025-10-20T22:13:09Z,,,,,,,,,,,
ignithga,soft-firefly-29,crashed,2025-10-21T10:33:09Z,,,,,,,,,,,
idaxhahc,eager-meadow-30,crashed,2025-10-21T10:53:39Z,,,,,,,,,,,
fqijw1ga,kind-voice-31,crashed,2025-10-21T11:17:16Z,,,,,,,,,,,
jkph9dg8,laced-glade-32,finished,2025-10-21T11:46:00Z,,,,,,,,,,,
